Sale_ID,Customer_ID,Vehicle_Model_sale,Year,Price,Sale_Date,Region,Sale_Year,Sale_Month,Service_ID,Vehicle_Model_service,Service_Type,Service_Cost,Service_Date,Service_Year,Service_Month,Customer_Lifetime_Value
,1,,,,,,,,8424.0,Toyota Fortuner,Battery Replacement,59272.0,2022-07-23,2022.0,7.0,
,1,,,,,,,,8801.0,Toyota Corolla,Engine Check,56351.0,2023-05-23,2023.0,5.0,
1573.0,2,Suzuki Alto,2023.0,7719483.0,2023-09-05,Quetta,2023.0,9.0,,,,,,,,
1687.0,2,Suzuki Cultus,2021.0,3884311.0,2023-04-11,Lahore,2023.0,4.0,,,,,,,,
5934.0,2,Suzuki Cultus,2018.0,5675632.0,2025-06-29,Faisalabad,2025.0,6.0,,,,,,,,
1352.0,3,Suzuki Alto,2021.0,7679508.0,2021-01-07,Quetta,2021.0,1.0,1487.0,Kia Sportage,Brake Service,35117.0,2025-05-28,2025.0,5.0,7714625.0
1352.0,3,Suzuki Alto,2021.0,7679508.0,2021-01-07,Quetta,2021.0,1.0,1966.0,Toyota Fortuner,Tire Rotation,64434.0,2025-09-27,2025.0,9.0,7743942.0
4065.0,3,Hyundai Tucson,2019.0,1631474.0,2023-01-16,Faisalabad,2023.0,1.0,1487.0,Kia Sportage,Brake Service,35117.0,2025-05-28,2025.0,5.0,1666591.0
4065.0,3,Hyundai Tucson,2019.0,1631474.0,2023-01-16,Faisalabad,2023.0,1.0,1966.0,Toyota Fortuner,Tire Rotation,64434.0,2025-09-27,2025.0,9.0,1695908.0
8526.0,3,Hyundai Tucson,2016.0,7858155.0,2021-12-02,Quetta,2021.0,12.0,1487.0,Kia Sportage,Brake Service,35117.0,2025-05-28,2025.0,5.0,7893272.0
8526.0,3,Hyundai Tucson,2016.0,7858155.0,2021-12-02,Quetta,2021.0,12.0,1966.0,Toyota Fortuner,Tire Rotation,64434.0,2025-09-27,2025.0,9.0,7922589.0
820.0,4,MG HS,2020.0,3835541.0,2025-09-07,Multan,2025.0,9.0,2544.0,Honda Civic,Battery Replacement,57985.0,2024-12-05,2024.0,12.0,3893526.0
820.0,4,MG HS,2020.0,3835541.0,2025-09-07,Multan,2025.0,9.0,2852.0,Suzuki Cultus,Tire Rotation,18334.0,2022-01-15,2022.0,1.0,3853875.0
356.0,5,Kia Sportage,2018.0,6859536.0,2022-03-14,Quetta,2022.0,3.0,5424.0,Hyundai Tucson,Engine Check,9401.0,2025-09-20,2025.0,9.0,6868937.0
